fire	year	temp	humidity	rainfall	drought_code	buildup_index	day	month	wind_speed	encoded_fire	loss_e1	pred_e1	loss_e2	pred_e2	loss_e3	pred_e3	loss_e4	pred_e4	loss_e5	pred_e5	loss_e6	pred_e6	loss_e7	pred_e7	loss_e8	pred_e8	loss_e9	pred_e9	loss_e10	pred_e10	pred
no	2015	28	59	0.0	8.06	3.47	1	6	19	0	0.18489746325175674	0	0.35400829538515954	1	0.3025594250327319	1	0.2232107083775616	0	0.14258565468721154	0	0.10316535142129173	0	0.09091305126414762	0	0.08495728259096791	0	0.083610282727739	0	0.08371563279879472	0	0
no	2014	28	77	0.0	14.98	4.63	5	6	18	0	0.1494985014833802	0	0.2902838515553187	1	0.2199450206069825	0	0.13914913847015484	0	0.10776081805525307	0	0.09022835046592745	0	0.08083861661229717	0	0.07575781319245142	0	0.07339833115754735	0	0.07175802242572188	0	0
yes	2008	30	67	0.0	22.71	7.97	6	6	14	1	0.4087524758900043	0	0.26094333732375025	0	0.30548806922268545	0	0.36012077219519717	0	0.39430883394885713	0	0.40375815049338815	0	0.3946071056727003	0	0.37273909510736447	0	0.34850532981390075	0	0.32944564552458466	0	0
no	2014	26	89	0.2	39.62	10.76	9	6	15	0	0.13530322785743681	0	0.2745518231547331	1	0.2109748324648995	0	0.14995602104720615	0	0.12025696582683978	0	0.10533380397175181	0	0.0976433759497003	0	0.09331628465707353	0	0.09120912324337949	0	0.08954998149488301	0	0
yes	2009	26	81	0.0	61.8	18.33	12	6	19	1	0.4224193440389673	0	0.25528724573075234	0	0.29191813860503124	0	0.3435307529977587	0	0.37614524595102083	0	0.37492286017424487	0	0.3554835753394113	0	0.33275793123403347	0	0.3105689435678549	0	0.29437932236250464	0	1
no	2009	28	82	1.2	17.68	7.44	13	6	22	0	0.14541181226267574	0	0.25266750923752185	1	0.2166139668360029	0	0.18125011512718361	0	0.15937818011630964	0	0.15541199081432533	0	0.16015311934925577	0	0.16554674418412063	0	0.1700258188288373	0	0.17061529240119416	0	0
no	2011	31	80	0.5	7.98	4.53	14	6	21	0	0.13885349728054358	0	0.2510822528444077	1	0.20173416885537232	0	0.1578752003310786	0	0.13394679633991058	0	0.12414088224903796	0	0.1199265656467441	0	0.11752205259465044	0	0.11601528779814105	0	0.11406594175811866	0	0
no	2016	29	78	3.1	7.78	3.31	15	6	17	0	0.15580997780217803	0	0.2807333547218686	1	0.21860366686524343	0	0.13805244957975463	0	0.09571604379924752	0	0.07614816393374085	0	0.06287456109173896	0	0.05318995593125856	0	0.0460494482295572	0	0.04044708876687005	0	0
no	2010	30	88	0.7	7.93	2.92	16	6	13	0	0.11888152271889417	0	0.2120158615646542	0	0.17618920423189002	0	0.1427142692274583	0	0.1238080671666658	0	0.11320505151389833	0	0.107406117504932	0	0.10318953347369979	0	0.09979697262486847	0	0.09622179741328897	0	0
no	2016	30	89	0.6	8.57	1.71	17	6	17	0	0.12222268195707212	0	0.23357684208150253	0	0.16752347747074825	0	0.1123819590693852	0	0.08544921933407858	0	0.06715704060665727	0	0.05507110236453341	0	0.04656036187730485	0	0.04051838531088131	0	0.03596498965862141	0	0
no	2011	30	78	0.3	8.31	2.44	18	6	14	0	0.10662164691255638	0	0.19502537718360208	0	0.1512102543391334	0	0.12514418143817432	0	0.10473855779077516	0	0.09214953858683697	0	0.08433866943664031	0	0.07854953922410075	0	0.07399552244895473	0	0.06985802706246359	0	0
no	2015	30	56	0.1	16.9	5.94	19	6	16	0	0.12239079123735634	0	0.2697742688564136	1	0.2547734967363891	1	0.21514501859945356	0	0.15940226396601223	0	0.11212307084690666	0	0.0882839711730521	0	0.06871909066802734	0	0.05343753248755013	0	0.041798899288376844	0	0
yes	2012	29	77	0.0	31.63	9.19	21	6	14	1	0.4931058166383854	0	0.3245897920158658	0	0.3843518495228227	0	0.4418499390136766	0	0.48789200210586614	0	0.5163267455018448	0	0.5353610314041868	0	0.5491223775140772	0	0.559379959839331	0	0.5681916617286618	0	0
no	2010	30	69	0.1	39.89	10.52	22	6	18	0	0.1042286868232468	0	0.20608965497270282	0	0.18140756935615557	0	0.1461679876510777	0	0.12649357187147342	0	0.11919297588223475	0	0.11977727108635201	0	0.1221927380934102	0	0.12533348671273145	0	0.1297177829189333	0	0
yes	2017	32	64	0.1	48.67	12.32	23	6	20	1	0.43242463866345504	0	0.22432267818842327	1	0.22026577227040825	1	0.23235006360446336	1	0.25768723780301683	0	0.27829032675840404	0	0.30343867209869574	0	0.3366970134674365	0	0.37012615311189095	0	0.4016019549352328	0	1
